Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -795.844849, -795.829381, -795.828437, -795.889432, -796.0916551,0.22608476868981975,0.27985127442066443
6-31G(dp), -795.877247, -795.861761, -795.860816, -795.921835, -796.1236342,0.21070213938704138,0.27416108512567455
6-31+G(dp), -795.914797, -795.899184, -795.898240, -795.959635, -796.160387,0.26298702291410986,0.3301320647515227
6-311G(dp), -796.077666, -796.062154, -796.061210, -796.122274, -796.3230491,0.3191338050418175,0.47513251578296645
6-311++G(dp), -796.097183, -796.081548, -796.080604, -796.142035, -796.342083,0.2493846528510776,0.32140439527222603
6-311G(2df2pd), -796.128075, -796.112501, -796.111557, -796.172877, -796.3734682,0.2724563029138524,0.3505941069761212
6-311++G(2df2pd), -796.145240, -796.129595, -796.128651, -796.190147, -796.3903543,0.14370251967420222,0.15812845966080682
