Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -795.836651, -795.820423, -795.819479, -795.883542, -796.0821099,0.000441350186600936,1.1376081473064405e-05
6-31G(dp), -795.868954, -795.852705, -795.851760, -795.915832, -796.1140148,0.00036492134493704885,1.030239285701888e-05
6-31+G(dp), -795.908290, -795.891959, -795.891015, -795.955402, -796.1527363,0.002969553009056649,9.982778033112073e-05
6-311G(dp), -796.069869, -796.053604, -796.052659, -796.116735, -796.3139262,0.0009035455754349989,3.0209564595019403e-05
6-311++G(dp), -796.091336, -796.074987, -796.074043, -796.138452, -796.3350493,0.005605781902964465,0.00018682919196528266
6-311G(2df2pd), -796.121169, -796.104858, -796.103914, -796.168494, -796.3652878,0.002624529035532716,6.049206433016675e-05
6-311++G(2df2pd), -796.140113, -796.123773, -796.122829, -796.187393, -796.3840837,0.0077729028775784985,0.00020627204027374936
