Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.84545,-795.830054,-795.829109,-795.889862,-796.0921661,0.3565149356212613,0.4808337270806551,138.2474,49.28726291080676,66.47401260121015
6-31G(dp),-795.878005,-795.862586,-795.861642,-795.922436,-796.1241965,0.3982336218252055,0.4973615531083546,137.5572,54.779901964134154,68.41566263323655
6-31+G(dp),-795.91466,-795.899125,-795.898181,-795.959317,-796.1601368,0.1877801009537251,0.2532747937656733,138.3142,25.972654439333724,35.03150047986409
6-311G(dp),-796.076847,-796.061374,-796.06043,-796.121423,-796.3220412,0.1295686987970374,0.1633675121710887,136.5786,17.69631148552105,22.312506097810253
6-311++G(dp),-796.096934,-796.081367,-796.080423,-796.14167,-796.3417483,0.1694198413644103,0.2254679475666466,138.2012,23.41402538037114,31.15994091524764
6-311G(2df2pd),-796.128168,-796.112716,-796.111772,-796.17277,-796.3735694,0.2432625532459238,0.3902636694122574,135.426,32.94407453588247,52.85184769382436
6-311++G(2df2pd),-796.146427,-796.130926,-796.129982,-796.191096,-796.3916216,0.392661715945758,0.6053227167707211,138.6458,54.440897736672376,83.92545232485006
