Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -795.830236, -795.814066, -795.813122, -795.876961, -796.0757148,4.144050139192723e-07,1.3006221852316262e-08,1.388085e+02
6-31G(dp), -795.862837, -795.846647, -795.845702, -795.909495, -796.1077889,4.436950654011154e-07,1.4090652294483419e-08,1.378925e+02
6-31+G(dp), -795.901892, -795.885593, -795.884649, -795.948861, -796.1463106,2.9089306427066933e-06,1.1049265811301599e-07,1.433259e+02
6-311G(dp), -796.062905, -796.046648, -796.045704, -796.109816, -796.3069035,5.930710171690007e-07,1.7766323026780716e-08,1.370791e+02
6-311++G(dp), -796.084930, -796.068619, -796.067675, -796.131949, -796.3286477,5.716879643605484e-06,2.1213537805509963e-07,1.434106e+02
6-311G(2df2pd), -796.115095, -796.098828, -796.097884, -796.162135, -796.3591598,3.117571230435584e-06,9.177552117082961e-08,1.359803e+02
6-311++G(2df2pd), -796.134512, -796.118249, -796.117305, -796.181432, -796.3784628,1.4074539367119408e-05,5.354789386449383e-07,1.388709e+02
