Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.834785,-795.819017,-795.818072,-795.88022,-796.080762,1.3080179001002607e-05,2.7285917239602124e-06,134.7743,0.001762871968734826,0.00036774403958253086
6-31G(dp),-795.867062,-795.85127,-795.850326,-795.912528,-796.1126138,1.1023256382289782e-05,2.3359157621731155e-06,133.8145,0.0014750715411679161,0.0003125793997573144
6-31+G(dp),-795.905467,-795.88955,-795.888606,-795.951359,-796.1502928,4.1006309386778736e-05,7.502481122492597e-06,138.9099,0.005696182336286495,0.0010421689024773344
6-311G(dp),-796.067667,-796.051843,-796.050898,-796.113215,-796.3122294,2.171188242250268e-05,5.007155945482799e-06,132.8801,0.0028850771074903983,0.000665351382751349
6-311++G(dp),-796.088166,-796.072234,-796.07129,-796.134102,-796.3323014,5.592052148573623e-05,1.0171141231497268e-05,138.3157,0.007734686073664647,0.0014068285192334066
6-311G(2df2pd),-796.118729,-796.10287,-796.101925,-796.164389,-796.3634074,3.39382978981916e-05,8.254415273501898e-06,131.8067,0.004473295049577571,0.0010879872376298827
6-311++G(2df2pd),-796.136681,-796.120764,-796.119819,-796.182589,-796.3811,4.793706877286524e-05,8.747698193700816e-06,134.8473,0.006464184293935191,0.001179603482635432
