Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -795.839714, -795.823715, -795.822771, -795.885860, -796.0857488,0.005141595928216715,0.0005369589123124478,1.377018e+02
6-31G(dp), -795.872083, -795.856053, -795.855108, -795.918274, -796.1176561,0.004847923384529415,0.0004875178300661489,1.366596e+02
6-31+G(dp), -795.911210, -795.895115, -795.894171, -795.957363, -796.1561776,0.023701748062409402,0.003822089249720604,1.382188e+02
6-311G(dp), -796.072514, -796.056456, -796.055512, -796.118738, -796.3170728,0.007539802783387963,0.0008465009947627567,1.359518e+02
6-311++G(dp), -796.094027, -796.077929, -796.076984, -796.140170, -796.3383297,0.034589307108267735,0.006032227902943224,1.392491e+02
6-311G(2df2pd), -796.123600, -796.107527, -796.106583, -796.170030, -796.3683085,0.013354705888988624,0.0014834247866845562,1.354917e+02
6-311++G(2df2pd), -796.142903, -796.126815, -796.125871, -796.189124, -796.3874631,0.04862606211864467,0.007396305632866054,1.374049e+02
