Basis,CCS_G,CCS_E
6-31G(d),136.0586113416093,136.6372530267476
6-31G(dp),135.24516204778604,135.77614050116057
6-311G(dp),133.4847126047897,133.91921485694755
6-311G(2df2pd),132.95046876577777,133.54897518226065
6-31+G(dp),136.3382454286539,136.46348705884043
6-311++G(dp),137.4190323340697,137.64565498211365
6-311++G(2df2pd),135.93547042417168,136.62756175045
