Basis,CCS_G,CCS_E
6-31G(d),135.48196304138608,135.75951011709662
6-31G(dp),134.7599848181539,134.99169792328345
6-311G(dp),133.19763264619414,133.4321399127338
6-311G(2df2pd),132.27757358197647,132.5602574594792
6-31+G(dp),135.5670912705984,135.6112551178494
6-311++G(dp),137.34849875711384,137.62022896052997
6-311++G(2df2pd),135.07106455986298,135.22690874460102
