isomer,G,E
2,0.24499008269642383,0.2609979803639952
2,0.0013137561607419147,2.4251813026302812e-05
2,2.172085453101555e-05,1.5144017233145762e-06
2,0.00015827230147836342,3.6970019761484623e-06
2,0.2697800704421683,0.23113910813472965
2,4.458892998734386e-05,9.053954655248302e-06
2,2.903009941194106e-06,2.6933839381851144e-08
2,3.7846207287499554e-10,4.8404206915402223e-11
2,6.556506384517536e-05,1.1840228919483923e-05
2,0.0036088515473662207,0.0003741577985188916
2,4.0686312839996934e-08,9.6350454513932e-09
2,3.309923057471608e-07,1.6448083814554044e-08
2,0.001994162988597234,0.00026150364653256295
2,0.43452681899268625,0.5010883965608801
2,1.361249840072845e-06,2.948692893987137e-08
2,0.04349147370531242,0.0060884135427410994
