isomer,G,E
2,0.1877801009537251,0.25327479376567336
2,0.002969553009056649,9.982778033112073e-05
2,6.224386756932235e-05,5.471097546691225e-06
2,0.0005817388809184719,2.9167423103900918e-05
2,0.42403436667669653,0.3885008776118574
2,8.998741341778489e-05,1.9749975561410358e-05
2,1.8905134160104673e-05,2.9126821354308313e-07
2,3.6815168183859674e-10,2.304219711476725e-11
2,4.1006309386778736e-05,7.502481122492597e-06
2,0.023701748062409402,0.003822089249720604
2,4.7840469521075436e-08,1.8286729979670872e-08
2,1.2308389643341929e-06,7.644344059940279e-08
2,0.0036009227210944115,0.0005794476659405541
2,0.26298702291410986,0.3301320647515227
2,2.9089306427066933e-06,1.1049265811301599e-07
2,0.0941282160792273,0.023528511683535355
