Basis,EZPE,U,H,G,E
6-31G(d), -795.841775, -795.825944, -795.825000, -795.887908, -796.0879532
6-31G(dp), -795.874155, -795.858301, -795.857356, -795.920316, -796.1198744
6-31+G(dp), -795.912797, -795.896868, -795.895924, -795.958665, -796.1578934
6-311G(dp), -796.074454, -796.058569, -796.057625, -796.120435, -796.3191413
6-311++G(dp), -796.095576, -796.079642, -796.078698, -796.141375, -796.3400008
6-311G(2df2pd), -796.125546, -796.109661, -796.108717, -796.171536, -796.3703926
6-311++G(2df2pd), -796.144396, -796.128481, -796.127537, -796.190214, -796.3890812
