Basis,EZPE,U,H,G,E
6-31G(d), -795.845450, -795.830054, -795.829109, -795.889862, -796.0921661
6-31G(dp), -795.878005, -795.862586, -795.861642, -795.922436, -796.1241965
6-31+G(dp), -795.914660, -795.899125, -795.898181, -795.959317, -796.1601368
6-311G(dp), -796.076847, -796.061374, -796.060430, -796.121423, -796.3220412
6-311++G(dp), -796.096934, -796.081367, -796.080423, -796.141670, -796.3417483
6-311G(2df2pd), -796.128168, -796.112716, -796.111772, -796.172770, -796.3735694
6-311++G(2df2pd), -796.146427, -796.130926, -796.129982, -796.191096, -796.3916216
