Basis,EZPE,U,H,G,E
6-31G(d), -795.831049, -795.814641, -795.813697, -795.878249, -796.0762336
6-31G(dp), -795.863427, -795.847022, -795.846078, -795.910501, -796.1082717
6-31+G(dp), -795.903142, -795.886596, -795.885652, -795.950628, -796.1472257
6-311G(dp), -796.064377, -796.047922, -796.046977, -796.111558, -796.3081575
6-311++G(dp), -796.086226, -796.069668, -796.068724, -796.133726, -796.3296265
6-311G(2df2pd), -796.116095, -796.099579, -796.098635, -796.163986, -796.3599353
6-311++G(2df2pd), -796.135317, -796.118775, -796.117831, -796.182953, -796.3789814
