Basis,EZPE,U,H,G,E
6-31G(d), -796.203456, -796.187895, -796.186951, -796.248956, -796.4637515
6-31G(dp), -796.239595, -796.224031, -796.223086, -796.285227, -796.4988007
6-31+G(dp), -796.267546, -796.251859, -796.250915, -796.313191, -796.5263709
6-311G(dp), -796.433854, -796.418234, -796.417290, -796.479426, -796.6923622
6-311++G(dp), -796.449219, -796.433519, -796.432575, -796.494777, -796.707484
6-311G(2df2pd), -796.486185, -796.470576, -796.469632, -796.532036, -796.7448078
6-311++G(2df2pd), -796.499506, -796.483877, -796.482933, -796.545042, -796.7581448
