basis_set,G,E
0,0.22527743471533507,0.12964596961419556
1,0.21502933670710522,0.12264382099568193
2,0.3094547064885307,0.19321434169199114
3,0.23597886844061436,0.12631372328656135
4,0.2697800704421683,0.23113910813472965
5,0.2716626672283678,0.2551960630350844
6,0.1558623326879019,0.1072907763954931
