Basis,EZPE,U,H,G,E
6-31G(d), -795.892853, -795.876902, -795.875957, -795.939400, -796.1392651
6-31G(dp), -795.925202, -795.909238, -795.908294, -795.971725, -796.1712327
6-31+G(dp), -795.963508, -795.947399, -795.946454, -796.009956, -796.2087073
6-311G(dp), -796.125355, -796.109347, -796.108403, -796.171756, -796.3703101
6-311++G(dp), -796.146257, -796.130117, -796.129173, -796.192860, -796.3907509
6-311G(2df2pd), -796.176802, -796.160775, -796.159831, -796.223266, -796.4218322
6-311++G(2df2pd), -796.195360, -796.179264, -796.178320, -796.241823, -796.4401592
