Basis,EZPE,U,H,G,E
6-31G(d), -795.900066, -795.884626, -795.883681, -795.944952, -796.1472078
6-31G(dp), -795.932501, -795.917042, -795.916098, -795.977393, -796.1792184
6-31+G(dp), -795.969921, -795.954341, -795.953397, -796.015039, -796.2158428
6-311G(dp), -796.132907, -796.117424, -796.116480, -796.177798, -796.3786186
6-311++G(dp), -796.152329, -796.136724, -796.135780, -796.197454, -796.3975554
6-311G(2df2pd), -796.183387, -796.167843, -796.166899, -796.228479, -796.4291052
6-311++G(2df2pd), -796.200464, -796.184856, -796.183912, -796.245611, -796.4459138
