basis_set,G,E
0,4.427243614286394e-10,1.8528895341122304e-11
1,1.7578769622617244e-10,9.092619171278701e-13
2,1.673776972184933e-09,6.237555545059147e-12
3,5.5797047421603e-10,3.447227944573261e-11
4,1.478934270828554e-09,7.64134724926745e-12
5,2.7994557950849624e-09,1.0273896386741136e-10
6,6.14423228663778e-09,4.530658524636839e-11
