,0,1
0,3.88753545258043e-21,4.347417832248531e-24
1,1.2149713605107395e-21,2.255766369028208e-24
2,5.489049092314978e-20,9.700171875379679e-23
3,5.9035709897339714e-21,1.1836606945720377e-23
4,8.556899012383521e-20,1.3159348183659209e-22
5,1.768570545422327e-19,6.204779751746978e-23
6,4.305517774803056e-20,7.952543286502403e-22
