basis_set,G,E
0,0.04499959,0.00554623
1,0.04216055,0.00511024
2,0.09412822,0.02352851
3,0.04549937,0.00757126
4,0.12395381,0.03541675
5,0.06582893,0.01348909
6,0.15427139,0.0410549
