Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.264721, -796.249172, -796.248228, -796.310226, -796.5252348,1.8617170554546713e-09,8.610506917010583e-12
6-31G(dp), -796.301135, -796.285635, -796.284690, -796.346570, -796.5605764,5.279058303471192e-09,1.6818999244369015e-11
6-31+G(dp), -796.328288, -796.312717, -796.311772, -796.373805, -796.5874941,2.984957984431579e-08,1.7010655544639823e-10
6-311G(dp), -796.494871, -796.479299, -796.478355, -796.540424, -796.7536384,5.3096145339264146e-09,2.1053923839959245e-11
6-311++G(dp), -796.509389, -796.493778, -796.492834, -796.554916, -796.7680338,1.5513936959554536e-08,9.361280834406455e-11
6-311G(2df2pd), -796.546605, -796.531036, -796.530092, -796.592603, -796.8054483,1.5003662709157554e-08,4.135579248260963e-11
6-311++G(2df2pd), -796.559021, -796.543458, -796.542514, -796.604669, -796.817914,3.707771632799418e-08,2.2001769885501512e-10
