Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.239235,-796.223386,-796.222442,-796.28351,-796.5008166,9.553325351348728e-22,5.038391814074501e-23,159.8501,1.5271000127456293e-19,8.053874353189904e-21
6-31G(dp),-796.298759,-796.283808,-796.282864,-796.340983,-796.5591452,1.4205384541570198e-11,3.693403619578109e-12,154.131,2.189490124776756e-09,5.692679932891935e-10
6-31+G(dp),-796.333249,-796.318088,-796.317144,-796.375688,-796.5926477,2.193544011264518e-07,3.994422872541044e-08,157.2223,3.448740346022334e-05,6.280123511935098e-06
6-311G(dp),-796.493053,-796.478019,-796.477074,-796.535515,-796.752547,2.9298788191288305e-11,6.626325159362889e-12,153.3029,4.491589196210252e-09,1.015834863273293e-09
6-311++G(dp),-796.515512,-796.500343,-796.499399,-796.557925,-796.7742787,3.757569081277458e-07,6.983651617711171e-08,154.6475,5.810986644968557e-05,1.0800042635499884e-05
6-311G(2df2pd),-796.522189,-796.506278,-796.505334,-796.566743,-796.7824141,1.9063865758514472e-20,1.0482388237975062e-21,155.6316,2.9669399301828206e-18,1.6313908532972395e-19
6-311++G(2df2pd),-796.565143,-796.550006,-796.549062,-796.607554,-796.8242833,7.875099984083797e-07,1.8725385562944826e-07,151.2371,0.00011910072838028796,2.831973008921643e-05
