Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.239277, -796.222743, -796.221799, -796.287589, -796.4996089,7.18713006784197e-20,1.4019479694801034e-23
6-31G(dp), -796.273777, -796.257259, -796.256315, -796.321941, -796.5336526,2.4708622096580924e-20,6.92548093170602e-24
6-31+G(dp), -796.304033, -796.287465, -796.286520, -796.352302, -796.5633906,3.830337040977071e-18,1.3891558417464122e-21
6-311G(dp), -796.469994, -796.453474, -796.452530, -796.518029, -796.7288832,2.6486735560176885e-19,8.62126969175999e-23
6-311++G(dp), -796.486152, -796.469570, -796.468626, -796.534401, -796.7447446,5.669118693246703e-18,1.8111539106996908e-21
6-311G(2df2pd), -796.522107, -796.506453, -796.505509, -796.568148, -796.7810432,8.443683780071256e-20,2.453724283174806e-22
6-311++G(2df2pd), -796.535795, -796.519202, -796.518258, -796.584827, -796.7946407,2.7637360208109915e-17,4.329043396993622e-21
