Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -796.245189, -796.229378, -796.228434, -796.289036, -796.5067157,3.3281057780797203e-19,2.6059499118567398e-20,1.606712e+02
6-31G(dp), -796.279909, -796.264091, -796.263147, -796.323717, -796.5408982,1.6211942649547113e-19,1.4911941095990914e-20,1.598740e+02
6-31+G(dp), -796.330577, -796.315507, -796.314563, -796.372831, -796.5904838,1.0638580201047661e-08,4.0367115147038284e-09,1.629470e+02
6-311G(dp), -796.499511, -796.484496, -796.483552, -796.541593, -796.758986,1.831557076412619e-08,6.071680846792281e-09,1.535633e+02
6-311++G(dp), -796.512749, -796.497646, -796.496702, -796.555089, -796.7719734,1.8633936310438468e-08,6.07589314621453e-09,1.554788e+02
6-311G(2df2pd), -796.527713, -796.511826, -796.510882, -796.571832, -796.7878754,4.1804881383577625e-18,3.4098857406574333e-19,1.568499e+02
6-311++G(2df2pd), -796.540088, -796.524099, -796.523155, -796.584622, -796.80001,2.2243006891260488e-17,1.2774683563886013e-18,1.607310e+02
