Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.287371, -796.272449, -796.271505, -796.329167, -796.5492673,0.9617376897622776,0.9779974900316191
6-31G(dp), -796.322745, -796.307813, -796.306869, -796.364529, -796.5839782,0.9637507899282441,0.9794398036174433
6-31+G(dp), -796.348059, -796.332970, -796.332026, -796.390130, -796.6087139,0.9653439982484328,0.9820781575225407
6-311G(dp), -796.516501, -796.501503, -796.500559, -796.558380, -796.776832,0.9662538495750334,0.9834120728247524
6-311++G(dp), -796.529791, -796.514699, -796.513755, -796.571855, -796.7898167,0.9614242523773302,0.9812839322587963
6-311G(2df2pd), -796.567617, -796.552600, -796.551656, -796.609578, -796.8280046,0.9659416243050749,0.9834930942239514
6-311++G(2df2pd), -796.578688, -796.563605, -796.562661, -796.620789, -796.8389079,0.9650588401039963,0.9999199765810655
