Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.287371,-796.272449,-796.271505,-796.329167,-796.5492673,0.9617376897622776,0.9779974900316192,151.0341,145.2551864093248,147.71097070918458
6-31G(dp),-796.322745,-796.307813,-796.306869,-796.364529,-796.5839782,0.963750789928244,0.9794398036174432,150.67,145.2083315184885,147.57219521104017
6-31+G(dp),-796.348059,-796.33297,-796.332026,-796.39013,-796.6087139,0.9653439982484328,0.9820781575225408,152.9234,147.62368638174436,150.1827309140825
6-311G(dp),-796.516501,-796.501503,-796.500559,-796.55838,-796.776832,0.9662538495750334,0.9834120728247524,150.3738,145.29926312522613,147.87941035653475
6-311++G(dp),-796.529791,-796.514699,-796.513755,-796.571855,-796.7898167,0.9614242523773302,0.9812839322587964,152.4342,146.55393677173643,149.5812311867238
6-311G(2df2pd),-796.567617,-796.5526,-796.551656,-796.609578,-796.8280046,0.9659416243050748,0.9834930942239514,149.5211,144.4286542018815,147.05296929076886
6-311++G(2df2pd),-796.578688,-796.563605,-796.562661,-796.620789,-796.8389079,0.9650588401039965,0.9999199765810656,149.7027,144.47191402243655,149.69072027812228
