Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.239277,-796.222743,-796.221799,-796.287589,-796.4996089,7.18713006784197e-20,1.4019479694801034e-23,171.1433,1.2300291573396986e-17,2.399340019251242e-21
6-31G(dp),-796.273777,-796.257259,-796.256315,-796.321941,-796.5336526,2.4708622096580924e-20,6.92548093170602e-24,170.0126,4.200777085057174e-18,1.1774190194497627e-21
6-31+G(dp),-796.304033,-796.287465,-796.28652,-796.352302,-796.5633906,3.8303370409770716e-18,1.3891558417464122e-21,168.974,6.472273711620596e-16,2.3473121920325824e-19
6-311G(dp),-796.469994,-796.453474,-796.45253,-796.518029,-796.7288832,2.6486735560176885e-19,8.621269691759991e-23,168.9176,4.474075802659735e-17,1.4562841852848375e-20
6-311++G(dp),-796.486152,-796.46957,-796.468626,-796.534401,-796.7447446,5.669118693246703e-18,1.8111539106996908e-21,169.0943,9.58615657051466e-16,3.062558027220267e-19
6-311G(2df2pd),-796.522107,-796.506453,-796.505509,-796.568148,-796.7810432,8.443683780071256e-20,2.453724283174806e-22,166.0141,1.4017705634331276e-17,4.0735282851941064e-20
6-311++G(2df2pd),-796.535795,-796.519202,-796.518258,-796.584827,-796.7946407,2.7637360208109918e-17,4.329043396993622e-21,168.2867,4.651000146134131e-15,7.285204274368465e-19
