Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.239168, -796.222734, -796.221790, -796.287020, -796.499635,3.933752248806187e-20,1.4412465670241137e-23
6-31G(dp), -796.273716, -796.257296, -796.256352, -796.321313, -796.5337012,1.2704545867833387e-20,7.291328478719341e-24
6-31+G(dp), -796.303426, -796.286956, -796.286012, -796.351193, -796.5628913,1.1832606525405953e-18,8.185882576549498e-22
6-311G(dp), -796.469771, -796.453335, -796.452391, -796.517399, -796.7287526,1.3589986462028807e-19,7.50746437359593e-23
6-311++G(dp), -796.485539, -796.469063, -796.468119, -796.533215, -796.74425,1.6141274835208569e-18,1.0725856174864855e-21
6-311G(2df2pd), -796.521557, -796.505015, -796.504071, -796.570669, -796.7805362,1.2196342772334553e-18,1.4341619199329903e-22
6-311++G(2df2pd), -796.534942, -796.519333, -796.518389, -796.580983, -796.7938297,4.711933293470562e-19,1.833664275986807e-21
