Basis,EZPE,U,H,G,E
6-31G(d), -796.283733, -796.268763, -796.267819, -796.326123, -796.5456851
6-31G(dp), -796.319065, -796.304078, -796.303133, -796.361432, -796.5803306
6-31+G(dp), -796.344235, -796.329097, -796.328153, -796.386989, -796.6049341
6-311G(dp), -796.512693, -796.497632, -796.496688, -796.555213, -796.7729779
6-311++G(dp), -796.526067, -796.510926, -796.509982, -796.568819, -796.7860786
6-311G(2df2pd), -796.563733, -796.548660, -796.547716, -796.606420, -796.8241458
6-311++G(2df2pd), -796.574821, -796.559694, -796.558750, -796.617656, -796.83
