basis_set,G,E
0,2.3922660741519875e-16,2.325473813195989e-19
1,9.739893023525307e-17,1.295524353528832e-19
2,6.24412821732335e-15,1.0731414225148936e-17
3,9.422196081103214e-16,1.1658257945902097e-18
4,9.515569614676864e-15,1.4545224072708412e-17
5,3.1615841123645475e-15,2.194153347543343e-18
6,2.8081450110333857e-14,2.4291224327411998e-17
