basis_set,G,E
0,1.7051979693793956e-20,1.0912113693883941e-23
1,8.365311962774758e-21,7.491313228390373e-24
2,4.9011556747394125e-19,4.064371201728101e-22
3,7.279115300645334e-20,9.03907878357162e-23
4,1.130127171531789e-18,8.266745115863098e-22
5,8.161842627258701e-19,4.899236520118009e-22
6,1.1989749318385629e-17,5.4049637426599085e-21
