isomer,G,E
3,0.1295686987970374,0.16336751217108877
3,0.0009035455754349989,3.0209564595019403e-05
3,1.928305346249005e-05,1.459418106497544e-06
3,0.0002311590160377158,8.458600472429329e-06
3,0.4953121827426368,0.3527431197727317
3,3.4165192525121885e-05,8.70031365633459e-06
3,3.753640917669938e-06,6.705887875592643e-08
3,2.8270847429392853e-10,2.1247442028752948e-11
3,2.171188242250268e-05,5.007155945482799e-06
3,0.007539802783387963,0.0008465009947627567
3,2.5817994066869696e-08,9.96495631105826e-09
3,5.006155215290784e-07,2.032663332415038e-08
3,0.0017314072674404265,0.0002851373611354673
3,0.3191338050418175,0.47513251578296645
3,5.930710171690007e-07,1.7766323026780716e-08
3,0.04549936521963814,0.0075712637265002245
