Basis,EZPE,U,H,G,E
6-31G(d), -796.261506, -796.245969, -796.245025, -796.306967, -796.5231065
6-31G(dp), -796.296580, -796.281049, -796.280105, -796.341735, -796.5575637
6-31+G(dp), -796.321703, -796.305991, -796.305047, -796.368873, -796.5812036
6-311G(dp), -796.491617, -796.476117, -796.475173, -796.536414, -796.7517933
6-311G(2df2pd), -796.542947, -796.527449, -796.526505, -796.587625, -796.8031865
6-311++G(dp), -796.505663, -796.490099, -796.489154, -796.550479, -796.765504
6-311++G(2df2pd), -796.554754, -796.539226, -796.538282, -796.599553, -796.8148664
