Basis,EZPE,U,H,G,E
6-31G(d), -796.239168, -796.222734, -796.221790, -796.287020, -796.499635
6-31G(dp), -796.273716, -796.257296, -796.256352, -796.321313, -796.5337012
6-31+G(dp), -796.303426, -796.286956, -796.286012, -796.351193, -796.5628913
6-311G(dp), -796.469771, -796.453335, -796.452391, -796.517399, -796.7287526
6-311G(2df2pd), -796.521557, -796.505015, -796.504071, -796.570669, -796.7805362
6-311++G(dp), -796.485539, -796.469063, -796.468119, -796.533215, -796.74425
6-311++G(2df2pd), -796.534942, -796.519333, -796.518389, -796.580983, -796.7938297
