Basis,EZPE,U,H,G,E
6-31G(d), -796.287371, -796.272449, -796.271505, -796.329167, -796.5492673
6-31G(dp), -796.322745, -796.307813, -796.306869, -796.364529, -796.5839782
6-31+G(dp), -796.348059, -796.332970, -796.332026, -796.390130, -796.6087139
6-311G(dp), -796.516501, -796.501503, -796.500559, -796.558380, -796.776832
6-311G(2df2pd), -796.567617, -796.552600, -796.551656, -796.609578, -796.8280046
6-311++G(dp), -796.529791, -796.514699, -796.513755, -796.571855, -796.7898167
6-311++G(2df2pd), -796.578688, -796.563605, -796.562661, -796.620789, -796.8389079
