Basis,EZPE,U,H,G,E
6-31G(d), -796.245189, -796.229378, -796.228434, -796.289036, -796.5067157
6-31G(dp), -796.279909, -796.264091, -796.263147, -796.323717, -796.5408982
6-31+G(dp), -796.330577, -796.315507, -796.314563, -796.372831, -796.5904838
6-311G(dp), -796.499511, -796.484496, -796.483552, -796.541593, -796.758986
6-311G(2df2pd), -796.527713, -796.511826, -796.510882, -796.571832, -796.7878754
6-311++G(dp), -796.512749, -796.497646, -796.496702, -796.555089, -796.7719734
6-311++G(2df2pd), -796.540088, -796.524099, -796.523155, -796.584622, -796.80001
