Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -795.900340, -795.884967, -795.884023, -795.945226, -796.1473721,0.441862548736522,0.4721883308157045
6-31G(dp), -795.932955, -795.917563, -795.916619, -795.977861, -796.1794553,0.4865967827818016,0.49271897315499497
6-31+G(dp), -795.969427, -795.953922, -795.952978, -796.014498, -796.215227,0.24499008269642383,0.2609979803639952
6-311G(dp), -796.131726, -796.116276, -796.115332, -796.176840, -796.3772351,0.17154132931449742,0.15102188433732944
6-311++G(dp), -796.151730, -796.136191, -796.135247, -796.196958, -796.3968731,0.24722286258365608,0.23988831705227281
6-311G(2df2pd), -796.183218, -796.167796, -796.166852, -796.228331, -796.428952,0.33154150888863904,0.39989575163725616
6-311++G(2df2pd), -796.201370, -796.185907, -796.184963, -796.246435, -796.4469119,0.5382185356461788,0.6538616684957619
