Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -795.883481, -795.867966, -795.867022, -795.928876, -796.1302156,1.3305859749857016e-08,6.0515823857939375e-09
6-31G(dp), -795.915809, -795.900261, -795.899316, -795.961261, -796.1620778,1.124401060887192e-08,4.99677373914386e-09
6-31+G(dp), -795.953577, -795.937899, -795.936954, -795.999760, -796.1990693,4.0686312839996934e-08,9.6350454513932e-09
6-311G(dp), -796.115859, -796.100271, -796.099327, -796.161419, -796.3610832,1.3819056667848884e-08,5.609505683855157e-09
6-311++G(dp), -796.136358, -796.120656, -796.119712, -796.182363, -796.3811248,4.7771689055426715e-08,1.366330725293425e-08
6-311G(2df2pd), -796.166851, -796.151223, -796.150279, -796.212651, -796.4121157,2.0300356604941773e-08,7.19444461711494e-09
6-311++G(2df2pd), -796.185150, -796.169441, -796.168497, -796.231255, -796.4301244,5.596698055024389e-08,1.2387540596611214e-08
