Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.90034,-795.884967,-795.884023,-795.945226,-796.1473721,0.441862548736522,0.4721883308157045,136.7972,60.445559452019744,64.5940415282621
6-31G(dp),-795.932955,-795.917563,-795.916619,-795.977861,-796.1794553,0.4865967827818016,0.4927189731549949,136.2398,66.29384836683609,67.12793435884187
6-31+G(dp),-795.969427,-795.953922,-795.952978,-796.014498,-796.215227,0.2449900826964238,0.2609979803639952,136.5701,33.45832009285887,35.64452027810886
6-311G(dp),-796.131726,-796.116276,-796.115332,-796.17684,-796.3772351,0.1715413293144974,0.1510218843373294,135.1924,23.191084009217256,20.41701099608597
6-311++G(dp),-796.15173,-796.136191,-796.135247,-796.196958,-796.3968731,0.247222862583656,0.2398883170522728,136.5228,33.75155742393595,32.750224731264026
6-311G(2df2pd),-796.183218,-796.167796,-796.166852,-796.228331,-796.428952,0.331541508888639,0.3998957516372561,133.454,44.24554052722443,53.367687638998376
6-311++G(2df2pd),-796.20137,-796.185907,-796.184963,-796.246435,-796.4469119,0.5382185356461788,0.6538616684957619,136.0617,73.23092893152969,88.96553018036981
