Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.888658,-795.873531,-795.872587,-795.933317,-796.1345623,1.4688223942997062e-06,6.045272542979079e-07,137.0745,0.00020133809528743508,8.286527111925858e-05
6-31G(dp),-795.920996,-795.905848,-795.904904,-795.965686,-796.1664845,1.2203582783781406e-06,5.319092170142167e-07,136.0585,0.00016604011681871226,7.237077020312881e-05
6-31+G(dp),-795.959835,-795.943682,-795.942738,-796.007564,-796.2046865,0.0001582723014783,3.6970019761484623e-06,139.9935,0.022157093437002392,0.0005175562461479398
6-311G(dp),-796.121552,-796.105427,-796.104482,-796.170145,-796.365968,0.0001427475801983,9.908446439962411e-07,135.3354,0.01931880086516901,0.0001340963562330889
6-311++G(dp),-796.142742,-796.126579,-796.125635,-796.190321,-796.3869015,0.0002187607889798,6.207605831608287e-06,140.153,0.030659980857885908,0.0008700145801173962
6-311G(2df2pd),-796.172731,-796.156603,-796.155659,-796.220496,-796.4173114,8.247472250987393e-05,1.7664318715658646e-06,134.3572,0.011081072787203635,0.0002373328402543492
6-311++G(2df2pd),-796.191463,-796.175316,-796.174372,-796.239071,-796.4358997,0.0002205000233857,5.619651291134645e-06,138.7378,0.03059168814448057,0.0007796580568991802
