Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.884168,-795.86802,-795.867076,-795.931167,-796.1298692,1.5063891071884268e-07,4.1929508852909486e-09,138.2509,2.082596498189965e-05,5.796792335472704e-07
6-31G(dp),-795.916527,-795.900354,-795.89941,-795.963528,-796.1617991,1.241009520621908e-07,3.7194910752798475e-09,137.4344,1.7055739886095955e-05,5.111860242364407e-07
6-31+G(dp),-795.95539,-795.939104,-795.93816,-796.003074,-796.2001253,1.361249840072845e-06,2.9486928939871373e-08,142.5934,0.00019410524294544322,4.204641453094655e-06
6-311G(dp),-796.116876,-796.100672,-796.099728,-796.163922,-796.3611364,1.9583746998909185e-07,5.934681100172391e-09,136.3124,2.6695075544141083e-05,8.089706239991391e-07
6-311++G(dp),-796.138642,-796.122356,-796.121412,-796.186021,-796.3825632,2.300939732252732e-06,6.269621496784523e-08,142.3625,0.0003275675326328296,8.925589903359867e-06
6-311G(2df2pd),-796.168869,-796.153548,-796.152604,-796.213631,-796.413227,5.732160037675787e-08,2.3345967436352532e-08,135.5284,7.768704784501392e-06,3.1640416131009606e-06
6-311++G(2df2pd),-796.18814,-796.171882,-796.170938,-796.236009,-796.4323934,8.60682349627664e-06,1.370121203097166e-07,139.8512,0.0012036745941424835,1.916130943985824e-05
