Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-795.89022,-795.874493,-795.873549,-795.935839,-796.1365375,2.1238652607348884e-05,4.898209910349447e-06,134.1623,0.0028494264827029227,0.0006571551074552756
6-31G(dp),-795.922528,-795.906781,-795.905836,-795.968173,-796.1684211,1.700374191899757e-05,4.137161234566011e-06,133.2381,0.00226554626617759,0.0005512275022872297
6-31+G(dp),-795.9606,-795.944737,-795.943793,-796.006732,-796.2057854,6.556506384517536e-05,1.1840228919483924e-05,138.1061,0.009054935263908173,0.0016352078391771389
6-311G(dp),-796.123064,-796.107298,-796.106354,-796.168753,-796.3679855,3.267593022178925e-05,8.396256654830703e-06,132.0875,0.004316081933170587,0.0011090405508949505
6-311++G(dp),-796.143331,-796.127453,-796.126509,-796.18956,-796.387832,9.770079834046492e-05,1.663290217160156e-05,137.567,0.013440405725302739,0.002288138453040712
6-311G(2df2pd),-796.174169,-796.158368,-796.157424,-796.219967,-796.419202,4.709480036917957e-05,1.3085825831447598e-05,131.1067,0.006174443863561915,0.0017156394415358506
6-311++G(2df2pd),-796.191925,-796.176059,-796.175115,-796.238109,-796.4366979,7.959288899397542e-05,1.308860290766552e-05,134.9826,0.010743655097918185,0.0017667336508442517
