Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -795.883435, -795.867351, -795.866407, -795.930188, -796.1294166,5.340507648771932e-08,2.596073678255364e-09,1.367813e+02
6-31G(dp), -795.915770, -795.899653, -795.898709, -795.962637, -796.1613599,4.8294959109331175e-08,2.3358500497332963e-09,1.357660e+02
6-31+G(dp), -795.954706, -795.938469, -795.937525, -796.001739, -796.1995742,3.309923057471608e-07,1.6448083814554044e-08,1.430780e+02
6-311G(dp), -796.116422, -796.100236, -796.099292, -796.163532, -796.360901,1.2956567553648266e-07,4.624980122064109e-09,1.351669e+02
6-311++G(dp), -796.137685, -796.121422, -796.120478, -796.184884, -796.3818469,6.900304531874005e-07,2.935841613896438e-08,1.411571e+02
6-311G(2df2pd), -796.167597, -796.151429, -796.150485, -796.214394, -796.4122511,1.2862035546922974e-07,8.303922677058609e-09,1.339875e+02
6-311++G(2df2pd), -796.186281, -796.170037, -796.169092, -796.233393, -796.4307159,5.388201352226096e-07,2.317842528366475e-08,1.383326e+02
