isomer,G,E
6,0.5382185356461788,0.6538616684957619
6,0.008675218723226125,4.285663028996006e-05
6,0.00011840767966640761,6.114015801534223e-06
6,0.00022050002338579498,5.619651291134645e-06
6,0.1558623326879019,0.1072907763954931
6,0.0002928819743559382,3.864742495334976e-05
6,1.691735363907863e-05,8.214322919053579e-08
6,2.4571280639737995e-09,3.152574187528038e-10
6,7.959288899397542e-05,1.3088602907665521e-05
6,0.008823495575242297,0.0007330507896185531
6,5.596698055024389e-08,1.2387540596611214e-08
6,5.388201352226096e-07,2.317842528366475e-08
6,0.004067895163099665,0.0005118503447701945
6,0.22485696300827032,0.22716685618047536
6,8.60682349627664e-06,1.370121203097166e-07
6,0.05875805520829985,0.010329216432064296
