Basis,EZPE,U,H,G,E
6-31G(d), -795.844915, -795.829374, -795.828430, -795.889885, -796.091482
6-31G(d,p), -795.877315, -795.861757, -795.860813, -795.922293, -796.1234376
6-31+G(d,p), -795.915107, -795.899459, -795.898515, -795.960086, -796.1605407
6-311G(d,p), -796.077659, -796.062066, -796.061121, -796.122689, -796.3227679
6-311++G(d,p), -796.097539, -796.081880, -796.080936, -796.142506, -796.3423142
6-311G(2df,2pd), -796.127978, -796.112328, -796.111384, -796.173236, -796.3731242
6-311++G(2df,2pd), -796.145575, -796.129891, -796.128947, -796.190646, -796.3905105
