Basis,EZPE,U,H,G,E
6-31G(d), -795.834785, -795.819017, -795.818072, -795.880220, -796.080762
6-31G(d,p), -795.867062, -795.851270, -795.850326, -795.912528, -796.1126138
6-31+G(d,p), -795.905467, -795.889550, -795.888606, -795.951359, -796.1502928
6-311G(d,p), -796.067667, -796.051843, -796.050898, -796.113215, -796.3122294
6-311++G(d,p), -796.088166, -796.072234, -796.071290, -796.134102, -796.3323014
6-311G(2df,2pd), -796.118729, -796.102870, -796.101925, -796.164389, -796.3634074
6-311++G(2df,2pd), -796.136681, -796.120764, -796.119819, -796.182589, -796.3811
