Basis,EZPE,U,H,G,E
6-31G(d), -795.829872, -795.813716, -795.812772, -795.876585, -796.0754311
6-31G(d,p), -795.862241, -795.846054, -795.845110, -795.908951, -796.1073998
6-31+G(d,p), -795.901456, -795.885188, -795.884243, -795.948049, -796.1459628
6-311G(d,p), -796.062926, -796.046699, -796.045755, -796.109656, -796.3070306
6-311++G(d,p), -796.084390, -796.068098, -796.067154, -796.131057, -796.3281887
6-311G(2df,2pd), -796.113961, -796.097746, -796.096801, -796.160570, -796.3582387
6-311++G(2df,2pd), -796.132879, -796.116606, -796.115662, -796.179561, -796.376957
