Basis,EZPE,U,H,G,E
6-31G(d), -795.839714, -795.823715, -795.822771, -795.885860, -796.0857488
6-31G(d,p), -795.872083, -795.856053, -795.855108, -795.918274, -796.1176561
6-31+G(d,p), -795.911210, -795.895115, -795.894171, -795.957363, -796.1561776
6-311G(d,p), -796.072514, -796.056456, -796.055512, -796.118738, -796.3170728
6-311++G(d,p), -796.094027, -796.077929, -796.076984, -796.140170, -796.3383297
6-311G(2df,2pd), -796.123600, -796.107527, -796.106583, -796.170030, -796.3683085
6-311++G(2df,2pd), -796.142903, -796.126815, -796.125871, -796.189124, -796.3874631
