Basis,EZPE,U,H,G,E
6-31G(d), -795.835710, -795.819865, -795.818920, -795.881073, -796.0818255
6-31G(d,p), -795.868063, -795.852190, -795.851246, -795.913417, -796.1137437
6-31+G(d,p), -795.906328, -795.890310, -795.889365, -795.952101, -796.1512066
6-311G(d,p), -796.068138, -796.052206, -796.051262, -796.113643, -796.312751
6-311++G(d,p), -796.089393, -796.073371, -796.072427, -796.135107, -796.3336139
6-311G(2df,2pd), -796.119706, -796.103727, -796.102783, -796.165580, -796.3644023
6-311++G(2df,2pd), -796.138765, -796.122752, -796.121808, -796.184634, -796.3832736
