Basis,EZPE,U,H,G,E
6-31G(d), -795.830236, -795.814066, -795.813122, -795.876961, -796.0757148
6-31G(d,p), -795.862837, -795.846647, -795.845702, -795.909495, -796.1077889
6-31+G(d,p), -795.901892, -795.885593, -795.884649, -795.948861, -796.1463106
6-311G(d,p), -796.062905, -796.046648, -796.045704, -796.109816, -796.3069035
6-311++G(d,p), -796.084930, -796.068619, -796.067675, -796.131949, -796.3286477
6-311G(2df,2pd), -796.115095, -796.098828, -796.097884, -796.162135, -796.3591598
6-311++G(2df,2pd), -796.134512, -796.118249, -796.117305, -796.181432, -796.3784628
