Basis,EZPE,U,H,G,E
6-31G(d), -795.888658, -795.873531, -795.872587, -795.933317, -796.1345623
6-31G(dp), -795.920996, -795.905848, -795.904904, -795.965686, -796.1664845
6-31+G(dp), -795.959835, -795.943682, -795.942738, -796.007564, -796.2046865
6-311G(dp), -796.121552, -796.105427, -796.104482, -796.170145, -796.365968
6-311++G(dp), -796.142742, -796.126579, -796.125635, -796.190321, -796.3869015
6-311G(2df2pd), -796.172731, -796.156603, -796.155659, -796.220496, -796.4173114
6-311++G(2df2pd), -796.191463, -796.175316, -796.174372, -796.239071, -796.4358997
