Basis,EZPE,U,H,G,E
6-31G(d), -795.890273, -795.874025, -795.873080, -795.937842, -796.135949
6-31G(dp), -795.922608, -795.906342, -795.905398, -795.970090, -796.1678943
6-31+G(dp), -795.961792, -795.945447, -795.944503, -796.009562, -796.2064623
6-311G(dp), -796.123451, -796.107176, -796.106232, -796.170875, -796.3677506
6-311++G(dp), -796.144735, -796.128377, -796.127433, -796.192566, -796.3887114
6-311G(2df2pd), -796.174854, -796.159448, -796.158504, -796.220053, -796.4191751
6-311++G(2df2pd), -796.193617, -796.177240, -796.176296, -796.242538, -796.4378177
