Basis,EZPE,U,H,G,E
6-31G(d), -795.895278, -795.880381, -795.879437, -795.938892, -796.1417713
6-31G(dp), -795.927688, -795.912766, -795.911822, -795.971344, -796.1737176
6-31+G(dp), -795.966239, -795.950318, -795.949374, -796.012866, -796.211679
6-311G(dp), -796.128015, -796.112121, -796.111177, -796.175543, -796.373017
6-311++G(dp), -796.149073, -796.133151, -796.132207, -796.195463, -796.3938408
6-311G(2df2pd), -796.179178, -796.163292, -796.162348, -796.226295, -796.4243475
6-311++G(2df2pd), -796.197974, -796.182071, -796.181127, -796.244344, -796.4429959
