Basis,EZPE,U,H,G,E
6-31G(d), -795.900340, -795.884967, -795.884023, -795.945226, -796.1473721
6-31G(dp), -795.932955, -795.917563, -795.916619, -795.977861, -796.1794553
6-31+G(dp), -795.969427, -795.953922, -795.952978, -796.014498, -796.215227
6-311G(dp), -796.131726, -796.116276, -796.115332, -796.176840, -796.3772351
6-311++G(dp), -796.151730, -796.136191, -796.135247, -796.196958, -796.3968731
6-311G(2df2pd), -796.183218, -796.167796, -796.166852, -796.228331, -796.428952
6-311++G(2df2pd), -796.201370, -796.185907, -796.184963, -796.246435, -796.4469119
