Basis,EZPE,U,H,G,E
6-31G(d), -795.888041, -795.872045, -795.871101, -795.934636, -796.1339729
6-31G(dp), -795.920593, -795.904580, -795.903636, -795.967122, -796.1660417
6-31+G(dp), -795.958972, -795.942884, -795.941940, -796.005689, -796.2038439
6-311G(dp), -796.120525, -796.104485, -796.103541, -796.167103, -796.3650477
6-311++G(dp), -796.141577, -796.125469, -796.124525, -796.188408, -796.3857978
6-311G(2df2pd), -796.172481, -796.156434, -796.155490, -796.220302, -796.4172179
6-311++G(2df2pd), -796.191418, -796.175355, -796.174411, -796.238484, -796.4359793
