basis_set,G,E
0,1.8617170554546713e-09,8.610506917010583e-12
1,5.279058303471192e-09,1.6818999244369015e-11
2,2.984957984431579e-08,1.7010655544639823e-10
3,5.3096145339264146e-09,2.1053923839959245e-11
4,1.5513936959554536e-08,9.361280834406455e-11
5,1.5003662709157554e-08,4.135579248260963e-11
6,3.707771632799418e-08,2.2001769885501512e-10
