isomer,G,E
4,0.24722286258365608,0.23988831705227281
4,0.0023588646331108775,4.2218730533895355e-05
4,2.8837718808050047e-05,1.9284378385747604e-06
4,0.00021876078897981976,6.207605831608287e-06
4,0.2716626672283678,0.2551960630350844
4,8.495249542345768e-05,1.9066191854843115e-05
4,5.943997647024958e-06,5.779179370449969e-08
4,1.11321122924176e-09,1.1778793055676327e-10
4,9.770079834046492e-05,1.663290217160156e-05
4,0.006277067842173771,0.0006293109306851503
4,4.7771689055426715e-08,1.366330725293425e-08
4,6.900304531874005e-07,2.935841613896438e-08
4,0.0032206787734399183,0.0003661892901257248
4,0.4180767732918122,0.4941710397263903
4,2.300939732252732e-06,6.269621496784523e-08
4,0.050741849993154814,0.009662862469691023
