Basis,EZPE,U,H,G,E
6-31G(d), -796.185664, -796.169165, -796.168220, -796.233301, -796.4457615
6-31G(dp), -796.220150, -796.203663, -796.202719, -796.267655, -796.4797816
6-31+G(dp), -796.250549, -796.234010, -796.233066, -796.298188, -796.5096598
6-311G(dp), -796.416337, -796.399837, -796.398893, -796.463906, -796.6749747
6-311++G(dp), -796.432583, -796.416027, -796.415083, -796.480254, -796.690926
6-311G(2df2pd), -796.468340, -796.451790, -796.450845, -796.516393, -796.7270521
6-311++G(2df2pd), -796.482128, -796.465582, -796.464637, -796.529955, -796.74076
