Basis,EZPE,U,H,G,E
6-31G(d), -796.220964, -796.205870, -796.204926, -796.263481, -796.4824638
6-31G(dp), -796.256111, -796.240998, -796.240054, -796.298621, -796.5169524
6-31+G(dp), -796.281659, -796.266380, -796.265436, -796.324545, -796.5419163
6-311G(dp), -796.449864, -796.434675, -796.433731, -796.492518, -796.7097277
6-311++G(dp), -796.463436, -796.448155, -796.447211, -796.506313, -796.7230099
6-311G(2df2pd), -796.500845, -796.485630, -796.484686, -796.543654, -796.7607974
6-311++G(2df2pd), -796.512142, -796.496860, -796.495916, -796.555112, -796.77198
