Basis,EZPE,U,H,G,E
6-31G(d), -796.201842, -796.186156, -796.185212, -796.247786, -796.462151
6-31G(dp), -796.237913, -796.222247, -796.221303, -796.283862, -796.4972325
6-31+G(dp), -796.265684, -796.249934, -796.248989, -796.311766, -796.5245928
6-311G(dp), -796.432335, -796.416627, -796.415683, -796.478290, -796.6909262
6-311++G(dp), -796.447138, -796.431365, -796.430421, -796.493130, -796.7054901
6-311G(2df2pd), -796.484108, -796.468437, -796.467493, -796.530035, -796.7428304
6-311++G(2df2pd), -796.496659, -796.480939, -796.479995, -796.542743, -796.75528
