683, 6-311++G(2df2pd), -796.200464, -796.184856, -796.183912, -796.245611, -796.4459138
273, 6-311++G(2df2pd), -796.191418, -796.175355, -796.174411, -796.238484, -796.4359793
591, 6-311++G(2df2pd), -796.195664, -796.179558, -796.178614, -796.242554, -796.4404983
340, 6-311++G(2df2pd), -796.192845, -796.176867, -796.175923, -796.239339, -796.4377201
490, 6-311++G(2df2pd), -796.191925, -796.176059, -796.175115, -796.238109, -796.4366979
422, 6-311++G(2df2pd), -796.187975, -796.171423, -796.170479, -796.236647, -796.4319104
150, 6-311++G(2df2pd), -796.193617, -796.177240, -796.176296, -796.242538, -796.4378177
640, 6-311++G(2df2pd), -796.195360, -796.179264, -796.178320, -796.241823, -796.4401592
295, 6-311++G(2df2pd), -796.191463, -796.175316, -796.174372, -796.239071, -796.4358997
599, 6-311++G(2df2pd), -796.185150, -796.169441, -796.168497, -796.231255, -796.4301244
455, 6-311++G(2df2pd), -796.181899, -796.165779, -796.164835, -796.228304, -796.4266586
900, 6-311++G(2df2pd), -796.197974, -796.182071, -796.181127, -796.244344, -796.4429959
118, 6-311++G(2df2pd), -796.201370, -796.185907, -796.184963, -796.246435, -796.4469119
801, 6-311++G(2df2pd), -796.188140, -796.171882, -796.170938, -796.236009, -796.4323934
609, 6-311++G(2df2pd), -796.186281, -796.170037, -796.169092, -796.233393, -796.4307159
683, 6-311G(dp), -796.132907, -796.117424, -796.116480, -796.177798, -796.3786186
273, 6-311G(dp), -796.120525, -796.104485, -796.103541, -796.167103, -796.3650477
591, 6-311G(dp), -796.125210, -796.109133, -796.108189, -796.172045, -796.3700421
340, 6-311G(dp), -796.122247, -796.106359, -796.105415, -796.167966, -796.3672324
490, 6-311G(dp), -796.123064, -796.107298, -796.106354, -796.168753, -796.3679855
422, 6-311G(dp), -796.117047, -796.100577, -796.099633, -796.164955, -796.361094
150, 6-311G(dp), -796.123451, -796.107176, -796.106232, -796.170875, -796.3677506
640, 6-311G(dp), -796.125355, -796.109347, -796.108403, -796.171756, -796.3703101
295, 6-311G(dp), -796.121552, -796.105427, -796.104482, -796.170145, -796.365968
599, 6-311G(dp), -796.115859, -796.100271, -796.099327, -796.161419, -796.3610832
338, 6-311G(dp), -796.132072, -796.116483, -796.115539, -796.177397, -796.3774677
455, 6-311G(dp), -796.111430, -796.095383, -796.094439, -796.157725, -796.3562273
900, 6-311G(dp), -796.128015, -796.112121, -796.111177, -796.175543, -796.373017
118, 6-311G(dp), -796.131726, -796.116276, -796.115332, -796.176840, -796.3772351
801, 6-311G(dp), -796.116876, -796.100672, -796.099728, -796.163922, -796.3611364
609, 6-311G(dp), -796.116422, -796.100236, -796.099292, -796.163532, -796.360901
683, 6-311++G(dp), -796.152329, -796.136724, -796.135780, -796.197454, -796.3975554
273, 6-311++G(dp), -796.141577, -796.125469, -796.124525, -796.188408, -796.3857978
591, 6-311++G(dp), -796.146690, -796.130571, -796.129627, -796.193490, -796.3912621
340, 6-311++G(dp), -796.143369, -796.127388, -796.126443, -796.189428, -796.3879609
490, 6-311++G(dp), -796.143331, -796.127453, -796.126509, -796.189560, -796.387832
422, 6-311++G(dp), -796.138810, -796.122246, -796.121302, -796.186917, -796.3824863
150, 6-311++G(dp), -796.144735, -796.128377, -796.127433, -796.192566, -796.3887114
640, 6-311++G(dp), -796.146257, -796.130117, -796.129173, -796.192860, -796.3907509
295, 6-311++G(dp), -796.142742, -796.126579, -796.125635, -796.190321, -796.3869015
599, 6-311++G(dp), -796.136358, -796.120656, -796.119712, -796.182363, -796.3811248
338, 6-311++G(dp), -796.151847, -796.136206, -796.135262, -796.197047, -796.3969315
455, 6-311++G(dp), -796.132286, -796.116114, -796.115170, -796.178814, -796.376637
900, 6-311++G(dp), -796.149073, -796.133151, -796.132207, -796.195463, -796.3938408
118, 6-311++G(dp), -796.151730, -796.136191, -796.135247, -796.196958, -796.3968731
609, 6-311++G(dp), -796.137685, -796.121422, -796.120478, -796.184884, -796.3818469
