Basis,EZPE,U,H,G,E
6-31G(d), -796.264721, -796.249172, -796.248228, -796.310226, -796.5252348
6-31G(dp), -796.301135, -796.285635, -796.284690, -796.346570, -796.5605764
6-31+G(dp), -796.328288, -796.312717, -796.311772, -796.373805, -796.5874941
6-311G(dp), -796.494871, -796.479299, -796.478355, -796.540424, -796.7536384
6-311G(2df2pd), -796.546605, -796.531036, -796.530092, -796.592603, -796.8054483
6-311++G(dp), -796.509389, -796.493778, -796.492834, -796.554916, -796.7680338
6-311++G(2df2pd), -796.559021, -796.543458, -796.542514, -796.604669, -796.817914
