Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.182247, -796.166002, -796.165057, -796.228996, -796.4425514,3.860035326450349e-18,7.270638980375444e-21
6-31G(dp), -796.216813, -796.200565, -796.199621, -796.263460, -796.4765615,1.7033234289544195e-18,3.9412893805440326e-21
6-31+G(dp), -796.246196, -796.229861, -796.228917, -796.293140, -796.5054233,7.6255238058357e-17,2.0060180272962513e-19
6-311G(dp), -796.4122, -796.395958, -796.395013, -796.459103, -796.6709965,9.712870906182972e-18,1.8475457608403422e-20
6-311++G(dp), -796.428378, -796.412031, -796.411087, -796.475328, -796.6868367,1.3796060170417475e-16,3.0578342841387885e-19
6-311G(2df2pd), -796.464725, -796.448390, -796.447445, -796.512060, -796.7235927,6.406041535460746e-17,8.89737246480739e-20
6-311++G(2df2pd), -796.478437, -796.462135, -796.461191, -796.525423, -796.73778,4.828388701487297e-16,2.3604919602645758e-18
