Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.195189,-796.179378,-796.178434,-796.239036,-796.4567157,1.6037669754777224e-13,2.3843070357639815e-14,171.7421,2.7543430827919254e-11,4.094858973668813e-12
6-31G(dp),-796.210997,-796.194465,-796.193521,-796.258301,-796.4705106,7.212404075098391e-21,6.48834492316756e-24,172.461,1.2438584191955436e-18,1.1189864537944006e-21
6-31+G(dp),-796.241373,-796.224718,-796.223774,-796.289094,-796.5002523,1.049661427538618e-18,8.386825022380333e-22,172.3275,1.808855296541612e-16,1.4452805890442467e-19
6-311G(dp),-796.407358,-796.390807,-796.389863,-796.454663,-796.6658915,8.808080753008518e-20,8.283596590930671e-23,170.4405,1.5012536875831483e-17,1.411860344756519e-20
6-311++G(dp),-796.423797,-796.407129,-796.406185,-796.471509,-796.6819156,2.415227405637656e-18,1.6658443860954821e-21,171.5189,4.1425714786482457e-16,2.8572379667427237e-19
6-311G(2df2pd),-796.460111,-796.443577,-796.442633,-796.508356,-796.7189026,1.2667602187676977e-18,6.190784781982368e-22,167.6298,2.123467621199854e-16,1.0377600148467479e-19
6-311++G(2df2pd),-796.474147,-796.457562,-796.456618,-796.52182,-796.73274,1.0625965461687054e-17,1.1337759314928278e-20,168.5743,1.791264689528072e-15,1.911254840082514e-18
